,,,,,,,,,,,,,,,,,,,,,,,April 1 = 1,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,121,122,125,128,131,134,138,141,145,148,152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,HBRB,LETE,29.76526,-93.37566,none,6/25/2021,N,0,<1,unk,,,69,69,78,"unknown reason for failure, no evidence seen",,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 1d, 2d",,,,,,,,,"F, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,HBRB,LETE,29.76511,-93.37459,none,6/17/2021,N,0,0,unk,,,,,,could have hatched or washed out from heavy rain events,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 10d, 7d",,,,,,,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,HBRB,LETE,29.76508,-93.37427,none,6/25/2021,N,0,0,unk,,,78,78,83,washout from heavy rain events,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 1d, 2d",,,,,,,,,2E,,,,,"0E, washout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
62,RUTW,LETE,29.76759,-93.15884,none,6/13/2021,N,0,0,unk,,,,,,"possibly hatched, but there were also coyote tracks in the area",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 16d, 6d?",,,,2E,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,RUTW,LETE,29.76798,-93.16164,none,6/28/2021,N,0,0,unk,,,,,,6/14: nest run over,,,,Hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,"Hu, run over",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,RUTW,LETE,29.76838,-93.16361,none,6/28/2021,N,0,0,unk,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 1d",,,,2E,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,RUTW,LETE,29.76958,-93.1685,none,needs float,N,0,0,unk,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,,BON,,,,BON,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,RUTE,LETE,29.75922,-93.12305,fenced,6/14/2021,N,0,0,,,,71,82,82,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, all 15d",,,,3E,,,,3E,,,"1E, 1C",,,,,,,,0C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,RUTE,LETE,29.75822,-93.11711,fenced,6/23/2021,N,0,0,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 6d, 5d, 4d",,,,3E,,,,3E,,,3E,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,RUTE,LETE,29.75801,-93.11697,fenced,6/14/2021,N,0,0,,,coyote,71,75,79,"lots of coyote tracks/activity in the area where the cup was. Was old enough to hatch, but I think coyotes got the chicks due to the track behavior",,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d",,,,2E,,,,"0E, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,RUTE,LETE,29.75776,-93.11603,fenced,6/19/2021,N,0,0,,,,71,82,82,"6/21: 1 chick, 1d old, 1 egg left in area but displaced from scrape",,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 10d, 7d, 7d",,,,BON,,,,3E,,,"1C, 1E ",,,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,RUTE,LETE,29.75644,-93.10940,fenced,6/19/2021,N,0,<1,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 10d, 10d",,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,RUTW,WIPL,29.7727,-93.18276,none,7/9/2021,Y,60,60,no,,,,,,unknown cause of failure :(,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 3d, 2d, 1d",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,RUTE,LETE,29.75867,-93.11887,fenced,6/27/2021,N,0,0,unk,,,75,82,87,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 4d, 5d, 6d",,,,3E,,,3E,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,RUTE,LETE,29.75640,-93.10984,fenced,6/27/2021,N,0,0,unk,,,,,,DNL = did not locate. unknown nest fate because was unable to relocate nest,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 5d, 6d",,,,DNL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,HBRB,LETE,29.76654,-93.38819,fenced,6/30/2021,N,0,10,unk,,,78,93,93,parental behavior 7/3 during stewardship and on 7/6. Possibly a 2nd chick hatched a day or 2 prior?,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 6d, 5d, 4d",,,,,3E,,3E,,,3E,,,,hatch day,"1C, 1E",,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,HBRB,LETE,29.76553,-93.37868,none,6/17/2021,N,0,0,unk,,,,,,could have hatched or washed out from heavy rain events,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, starring",,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,HBRB,LETE,29.76530,-93.37608,none,7/2/2021,N,0,0,unk,,,78,78,83,washout from heavy rain events,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 4d",,,,,"0E, washout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,HBRB,LETE,29.76518,-93.37514,none,6/21/2021,N,0,0,unk,,,,,,could have hatched or washed out from heavy rain events,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d, 15d",,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,HBRB,LETE,29.76514,-93.37427,none,6/23/2021,N,0,0,unk,,,,,,could have hatched or washed out from heavy rain events,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, all 13d",,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,HBRB,LETE,29.76509,-93.37295,none,6/26/2021,N,0,0,unk,,,78,78,83,washout from heavy rain events,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 6d, 10d",,,,,"0E, washout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,HBRB,LETE,29.76500,-93.37202,none,7/3/2021,N,0,0,unk,,,78,78,83,washout from heavy rain events,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 3d, 2d",,,,,"0E, washout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,RUTW,LETE,29.76923,-93.16721,none,6/21/2021,N,0,0,unk,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 15, 15, 16",,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,RUTW,LETE,29.77058,-93.17419,none,6/30/2021,N,0,0,unk,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 7d, 6d",,,,,2E,,2E,,,,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,RUTW,LETE,29.77165,-93.17779,none,6/30/2021,N,0,0,unk,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 6d, 7d",,,,,"0E, washout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,RUTW,LETE,29.77201,-93.1814,none,6/24/2021,N,1,1,unk,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 9d, 13d",,,,,"0E, washout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,RUTE,LETE,29.75788,-93.11641,fenced,6/27/2021,N,0,0,unk,,,,,,could have hatched but no confirmed chick sighting,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 13d, 13d",,,,2E,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,RUTE,LETE,29.75638,-93.11006,fenced,6/25/2021,N,0,0,unk,,coyote,82,82,87,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 13d, 15d",,,,coyote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,RUTE,LETE,29.75616,-93.10882,fenced,6/25/2021,N,1,5,unk,,coyote,82,82,87,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 15d",,,,coyote,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,RUTW,LETE,29.77167,-93.17757,none,7/2/2021,Y,20,15,unk,,,,,,,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 5d",,,,,"0E, washout",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,RUTE,LETE,29.75618,-93.10878,fenced,6/30/2021,N,0,0,unk,,,,,,"could have hatched, no evidence of disturbance",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 10d, 10d",,,,2E,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,HBRB,LETE,29.76513,-93.37488,fenced,7/7/2021,N,0,0,unk,,,,,,could have hatched!,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 2d, 4d",,2E,,,2E,,,,,,,,,2E,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,RUTW,LETE,29.76954,-93.16965,none,7/7/2021,N,0,0,unk,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 5d",,2E,,,,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,RUTW,LETE,29.77162,-93.17829,none,7/11/2021,N,0,0,unk,,unknown,,,,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,1E,,,,,,,,,"0E, dep",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,RUTW,LETE,29.77170,-93.17924,none,6/26/2021,N,5,15,unk,,,,,,"6/26: no eggs, but very likely could have hatched, saw no evidence of failure",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 15d, 15d, 16d",,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
094,ROJH,LETE,29.63668,-92.77045,none,needs float,N,0,0,unk,,,,,,fate unknown. never floated so hatch date unknown. no chicks seen in area but very difficult to confirm at this site,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1E,,,,,,,,,,,,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,RUTE,LETE,29.75939,-93.12240,fenced,7/12/2021,N,0,0,unk,,,87,87,91,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 3d, 2d",,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,RUTE,CONI,29.75834,-93.11926,fenced,7/16/2021,N,80,65,unk,,,91,96,103,coyote tracks on 7/12,,,,D,,,changed fate to D based on field photos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 1d, 2d",,,,,2E,,,,,,,0E,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,RUTE,LETE,29.75780,-93.11575,fenced,7/20/2021,N,0,0,unk,,,96,112,112,,,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d, 4d",,,2E,,,,,2E,,,,2E,,,,"1E, 1C",,1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,RUTE,LETE,29.75701,-93.11245,fenced,7/23/2021,N,0,0,unk,,unknown,96,96,99,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,RUTW,LETE,29.76781,-93.15977,none,7/7/2021,N,0,0,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 7d, 17d?",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,BROW,WIPL,29.77344,-93.29399,none,5/18/2021,Y,30,40,no,,,25,29,33,"3 May: parents weren't in area upon searching, debris was washed up and no eggs were found by popsicle stick",,,,S,,,,,,,,"3E, 5d",,,,3E,,,,"0E, failed",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,RUTE,WIPL,29.75889,-93.12076,fenced,5/16/2021,Y,0,0,no,,,,,,19 May: no eggs seen but could have hatched,,,,U,,,,,,,,,,"3E, 9d",,,3E,3E,,,3E,,3E,,,,,3E,,,,3E,3E,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,RUTE,LETE,29.75622,-93.10995,fenced,5/23/2021,Y,,,unk,,,,,,,,,,U,,,,,,,,,,,,,,,,,"1E, 1d",,,,,,,2E,,,2E,BON,,,,2E,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,RUTE,LETE,29.75543,-93.10677,fenced,5/23/2021,Y,,,unk,,coyote,34,41,45,,,,,D,,,,,,,,,,,,,,,,,"1E,1d",,,,,,,2E,,,,"D, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,RUTE,LETE,29.75731,-93.11316,fenced,6/5/2021,N,0%,0%,unk,,coyote,41,45,49,,Y,,N,D,D ,6/17/2021,"slightly unclear, probably coyote",,,,,,,,,,,,,,,,,,,,,"2E, 7d, 4d",,,,"BON, camera",,,,"0E, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,RUTE,LETE,29.75716,-93.11281,fenced,6/2/2021,N,0%,0%,unk,,,41,49,53,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,"3E, 4d, 3d, 1d",,,,BON,,,,3E,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,RUTW,LETE,29.77077,-93.17840,none,5/26/2021,N,0%,0%,unk,,,,,,no popsicle stick located; no eggs seen in area,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 7d, 4d, 3d",,,,,"0E, W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,RUTW,LETE,29.77063,-93.17722,none,5/27/2021,N,0%,0%,unk,,,,,,no popsicle stick located; no eggs seen in area,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 5-6d",,,,,"0E, W",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,RUTW,LETE,29.77045,-93.17622,none,5/29/2021,N,0%,0%,unk,,,,,,popsicle stick was washed out of the sand; no eggs seen in general area,,,,W,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 4d",,,,,"W, 0E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,RUTE,LETE,29.75604,-93.10871,fenced,5/19/2021,Y,0%,0%,unk,,,45,49,53,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d",,,,2E,,,,"0E, D",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,RUTW,LETE,29.76577,-93.15190,none,6/3/2021,N,0,0,unk,,,,,,"6/3: hatch date, but no eggs or chicks seen. no evidence of being run over or predators. ",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 7d, 2d",,,,2E,,,,,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,RUTE,LETE,29.75746,-93.11464,fenced,6/1/2021,N,0,0,unk,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 10d, 8d",,,2E,,,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
112,RUTW,LETE,29.76520,-93.14928,none,6/13/2021,N,0,0,unk,,,,,,6/3: nest run over,,,,Hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,,,,,Hu: run over,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,RUTE,LETE,29.75923,-93.12110,fenced,6/11/2021,Y,0,0,unk,,coyote,56,56,62,,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 3d, 2d",,,,,,"0E, coyote",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,RUTE,LETE,29.75776,-93.11580,fenced,5/27/2021,N,0,0,unk,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 16d, 19d, 1 egg starring",,,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,RUTE,LETE,29.75636,-93.10936,fenced,6/10/2021,N,0,0,unk,,,,,,"U, but possibliy hatched, no evidence of predation or other disturbance",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 4d",,,,,,1E,,,,,1E,,,,1E ,,,,1E,,,,"0E, H",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,RUTE,LETE,29.75944,-93.12180,fenced,6/10/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 10d, 10d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,RUTE,LETE,29.75714,-93.11253,fenced,6/14/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 6d, 5d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,RUTE,LETE,29.75655,-93.11017,fenced,6/15/2021,N,0,0,unk,,,62,62,67,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 2d, 5d",,,,,"0E, F",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,RUTE,LETE,29.75567,-93.10702,fenced,6/5/2021,N,0,0,unk,,,,,,"possibly depredated by coyote, but uncertain",,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 15d, 15d",,,,,,,,,"0E, U",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
