,,,,,,,,,,,,,,,,,,,,,,,,,April 1 = 1,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,67,69,71,72,73,74,76,77,78,79,80,81,82,83,84,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,107,108,109,110,112,113,114,115,116,117,121,122,125,115,116,117,118,121,122,125,,,,,,,,
64,ROJH,LETE,29.63621,-92.77026,symbolic,5/27/2019,N,,,,,,,36,36,38,nest placement was below wrack line. 8 May- constant south winds brought surge with storms approaching late May 9th into May 10th.,,,S,,,,,,,,,,,,,,,,,,,,,1E,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,ROJH,LETE,29.63627,-92.7703,symbolic,5/26/2019,N,,,,,,,36,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,"2E, 1d",,3E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,ROJH,WIPL,29.63623,-92.76861,symbolic,5/30/2019,Y,5,5,"U5, unbanded male",,,,36,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,"2E, 5d",,3E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,RUTW,LETE,29.76706,-93.16145,none,,N,,,,,,,,,,coyote tracks nearby but could have failed beforehand,,,U,,,,,,,,,,,,,,,,,,,,,2E,,,,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,RUTW,LETE,29.76715,-93.16194,none,,N,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,2E,,,,,,,,,2E,,,,,could not find,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,RUTW,LETE,29.76752,-93.16377,none,,Y,2,2,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,3E,,,,,,,,,3E,,,,,could not find,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,RUTW,LETE,29.76759,-93.16413,none,,Y,2,2,,,,,36,39,45,,,,A,,,,,,,,,,,,,,,,,,,,,3E,,,3E,,,,,,1E,,,,,1E,,,,1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,RUTW,LETE,29.76762,-93.16428,none,,N,0,0,,,,unknown,36,36,39,9 May- scrape empty. No tracks around. Photo. ,,,D,,,,,,,,,,,,,,,,,,,,,2E,,,"failed, empty",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,RUTW,LETE,29.7677,-93.16454,none,,N,5,10,,,,,36,54,54,5/24 2 chicks,Y,N,H,H,5/24/2019,???,,,,,,,,,,,,,,,,,,2E,,,3E,,,,,,3E,,,,,3E,,,,2C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,RUTW,LETE,29.76986,-93.17609,none,,N,,,,,,,,,,agitated adults divebombing me; maybe hatched ,,,U,,,,,,,,,,,,,,,,,,,,,2E,,,,,,,,,2E,,,,,2E,,,,2E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,RUTW,LETE,29.76991,-93.17629,none,,N,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,3E,,,,,,,,,3E,,,,,3E,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,RUTW,LETE,29.76991,-93.17634,none,,N,,,,,,,36,36,45,unhatched egg shell ofund nearby,,,F,,,,,,,,,,,,,,,,,,,,,2E,,,,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,RUTW,LETE,29.7701,-93.1773,none,,N,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,3E,,,,,,,,,3E,,,,,3E,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,RUTW,LETE,29.77043,-93.17932,none,,N,0,0,,,,,36,50,50,,,,H,,,,,,,,,,,,,,,,,,,,,3E,,,,,,,,,3E,,,,,"2C, 1E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,BROE,WIPL,29.77505,-93.28058,none,5/26/2019,Y,50,60,K2,,,,37,54,54,one chick banded on 5/25. Family observed about 100-150m from nest,,,H,,,,,,,,,,,,,,,,,,,,,,"2E, 9d",,,,,2E,,,,,2E,,,,2E,,,hatch,"2C, 1-2 days out of nest",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,BROW,WIPL,29.77334,-93.2925,none,5/23/2019,Y,50,75,,,,coyote,37,37,42,"appeared the nest had survived the surge from recent storms between visits, and photos on 12 May show fresh coyote tracks through the nest. ",,,D,,,,,,,,,,,,,,,,,,,,,,"3E, 12d, 9d, 9d",,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,BROW,WIPL,29.77261,-93.30148,none,5/30/2019,Y,5,10,E5,,,unknown,37,42,47,17 May nest empty and E5 banded female and her mate observed selecting a new nest site in a new location. Unknown predator- no tracks observed. ,,,D,,,,,,,,,,,,,,,,,,,,,,"3E, 5d",,,,,3E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,BROW,WIPL,29.77281,-93.30322,none,6/3/2019,Y,5,5,,,,,37,47,55,likely storm surge but nest was unable to be checked due to flooding. Could have been depredated between visits. ,,,F,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,,3E,,,,,3E,,,,unk - could not access mudflats (flooding),,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,BROW,LETE,29.7725,-93.29737,none,5/22/2019,Y,0,0,,,,,37,37,42,"storms between visits brought storm surge, overwashing the entire beach. This nest was mid-beach in the impact area",,,S,,,,,,,,,,,,,,,,,,,,,,"3E, 4d, 1d, 1d",,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,BROW,LETE,29.7725,-93.29726,none,5/25/2019,Y,0,0,,,,,37,37,42,"storms between visits brought storm surge, overwashing the entire beach. This nest was mid-beach in the impact area",,,S,,,,,,,,,,,,,,,,,,,,,,"2E, 1d",,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,BROW,LETE,29.77272,-93.2955,none,5/25/2019,Y,5,5,,,,,37,37,42,"storms between visits brought storm surge, overwashing the entire beach. This nest was mid-beach in the impact area",,,S,,,,,,,,,,,,,,,,,,,,,,"2E, 1d",,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,ROCK,WIPL,29.66836,-92.84666,none,6/4/2019,Y,0,5,K3,,,,38,38,41,storm surge from recent weather events 9-10 May,,,S,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ROJH,LETE,29.63777,-92.76788,symbolic,,Y,0,5,,,,,38,38,43,"13 May- area overwashed from recent storms 9-10 May, all known and marked nests lost",,,S,,,,,,,,,,,,,,,,,,,,,,,2E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,RUTW,CONI,29.76355,-93.14461,none,5/25/2019,Y,90,95,,,,,39,53,58,28 May- KBB has photos of nest crushed by vehicle/ATV. egg shells,,,Hu,,,,,,,,,,,,,,,,,,,,,,,,2E,,,,2E,,,,,,BON,,,,1E,,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,RUTW,LETE,29.76308,-93.14176,none,,Y,5,20,,,,,39,53,54,17 May- KBB added symbolic fencing but had to pull it due to the adult hovering and not returning to the nest. Nest is on the edge of the dirt road through the cattle field. empty nest scrape on May 24. unknown cause. ,,,F,,,,,,,,,,,,,,,,,,,,,,,,3E,,,3E,3E,3E,,,3E,BON,3E,,,,3E,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,RUTW,CONI,29.76268,-93.14062,none,,Y,95,90,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,2E,,,BON,,,,,,,BON,,,,not found,,,no activity,,no activity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,RUTW,WIPL,29.76224,-93.13854,symbolic,6/6/2019,Y,70,80,pair unbanded,,,,44,44,47,trampled by cattle,,,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 5d",,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,RUTW,LETE,29.76234,-93.13966,symbolic,5/27/2019,Y,20,30,,,,,,,,3 June- SB had loud screaming/diving but no chicks found,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 7d, 4d, 4d",,,,,BON,,,,3E,,BON,,,3E,,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,HBRB,CONI,29.76557,-93.38148,none,5/27/2019,Y,5,5,,,,,,,,not tracked to fate,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, angled on bottom",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,HBRB,CONI,29.76674,-93.38927,none,5/24/2019,Y,,,,,,,,,,not tracked to fate,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 1 vert on bottom, 1 vert near surface",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,BROW,WIPL,29.77345,-93.29129,none,6/15/2019,Y,5,10,pair unbanded,,,,47,47,51,"1E found, half buried; nest area underwater",,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,BROW,LETE,29.77221,-93.29811,none,6/7/2019,Y,0,0,,,,,47,47,51,nest area underwater; no eggs found - may have been predated first?,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,BROW,LETE,29.77238,-93.29714,none,6/7/2019,Y,0,0,,,,,47,47,51,nest area underwater; no eggs found - may have been predated first?,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,BROW,LETE,29.77248,-93.29626,none,6/7/2019,Y,0,0,,,,,47,47,51,nest area underwater; no eggs found - may have been predated first?,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,BROW,LETE,29.77264,-93.29575,none,6/7/2019,Y,0,0,,,,,47,47,51,nest area underwater; no eggs found - may have been predated first?,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,BROW,LETE,29.77261,-93.29563,none,6/4/2019,Y,0,0,,,,,47,47,51,nest area underwater; no eggs found - may have been predated first?,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 4d",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,BROW,LETE,29.77262,-93.29558,none,6/7/2019,Y,0,0,,,,,47,47,51,nest area underwater; no eggs found - may have been predated first?,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 1d",,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,RUTW,WIPL,29.76782,-93.16532,none,6/9/2019,Y,50,60,,,,,,,,"6 June- adults nearby broken wing display indicating chicks nearby. KBB searched area and found another nest that was not known about with 2C, 1E about 130 feet from nest 101. So fate unknown.",,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 12d",,,,,3E,,,,3E,,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,RUTW,LETE,29.76786,-93.16526,none,6/9/2019,N,5,10,,,,coyote,54,59,63,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 4d",,,,,3E,,,,empty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,RUTW,LETE,29.763,-93.14137,none,,Y,5,5,,,,,55,55,56,run over. nest was along edge of cattle road during Memorial Day weekend. ,,,Hu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 1-4d",failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,ROCK,CONI,29.67584,-92.86582,none,,Y,10,15,,,,,57,62,72,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2E,,,,,2E,,,not checked,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
105,ROCK,CONI,29.67472,-92.86363,none,,Y,10,10,,,,,57,62,72,,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1E,,,,,2E,,,not checked,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,RUTE,LETE,29.75886,-93.12289,symbolic,,N,0,0,,,,,,,,"6/21 - remaining egg has shell stuck to it, floated above surface, angled. probably others hatched?",,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 4d",,,,,,3E,,3E,,,,3E,,,,3E,,,,1E- looks abandoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
107,RUTE,LETE,29.75877,-93.12273,symbolic,,N,0,0,,,,,,,,"6/17- nest scrape was wet, no sign of feathers/shell fragments. adults were not extra frantic and no chicks seen in area",,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d",,,,,,2E,,2E,,,,2E,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,RUTW,LETE,29.76144,-93.1355,symbolic,6/12/2019,N,0,5,,,,,58,64,71,,?,N,F,U,,what I thought was 231 is probablyy 108 based on where it appears to be located and the observation dates? But not sure dates match up. Cam was pulled 6/3/2019,folder marked '108' doesn't have 108 photos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d",,BON,,,,BON,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,RUTW,LETE,29.76151,-93.13557,symbolic,,N,0,5,,,,,58,64,71,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 3-4d",,BON,,,BON,BON,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,RUTW,LETE,29.76159,-93.13612,symbolic,,N,0,0,,,,,,,,"ghost crab and cattle disturbance nearby, may also have been affected by garbage dumping/burning episode on Sunday June 2- SB",,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 15d",,3E,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,RUTW,WIPL,29.76952,-93.17429,none,6/21/2019,Y,10,15,,,,,59,59,63,trampled by cattle- June 2,,,Ca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 5d",,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,RUTE,CONI,29.75806,-93.12002,none,6/9/2019,Y,90,80,,,,ants,64,67,73,"12 June- egg was starring on June 6th, must have been abandoned and found by ants while hatching.",,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, float vertical at surf",,"1E, starring",,,,"1E, with ants",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114,RUTE,CONI,29.75728,-93.11665,none,6/4/2019,Y,90,80,,,,,64,65,65,KBB has photos of chick,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, starring, hear the chick peeping",hatch,"1C,3d",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,RUTE,CONI,29.75634,-93.11276,none,6/19/2019,N,80,75,,,,,64,82,82,6/17 - not checked due to cows in area that wanted to follow me/may have trampled nest,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,2E,,,,2E,,,,not checked,,,,1C,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,ROJH,WIPL,29.63733,-92.76791,none,7/2/2019,Y,20,25,,,,,65,65,72,11 June- area overwashed from June 5th surge likely the cause of failure. ,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, <5d",,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,BROW,LETE,29.7724,-93.29749,none,7/1/2019,Y,0,0,,,,,71,88,93,,,,A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 1-4d",,,,,1E,,1E,,,,1E,,,,"1E, cracks, starring?",,,,,"1E, not viable? cracked all over",,,1E abandoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,BROW,LETE,29.77235,-93.29783,none,6/30/2019,Y,0,0,,,,,71,77,79,high tides/storm surge from 6/17 morning storms,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,,2E,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
119,BROW,LETE,29.77186,-93.30047,none,6/20/2019,Y,0,0,,,,,71,77,79,high tides/storm surge from 6/17 morning storms,,,S,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 10d",,,,,2E,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,BROW,WIPL,29.77186,-93.3011,none,7/6/2019,Y,0,0,,,,,71,83,88,27 june- predator tracks nearby but not leading to the nest. the scrape looks washed like it was hit hard with heavy rainfall. failed unk cause,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, new <5d",,,,,3E,,3E,,,,3E,,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,ROJH,CONI,29.63722,-92.76791,symbolic,,Y,5,5,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, angled float on bottom",,,,,,,,,,,,egg fragment in scrape indicating hatch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,RUTE,LETE,29.7589,-93.12319,symbolic,6/28/2019,N,,,,,,,73,78,82,"6/17- camera placed; 6/21- empty scrape, no signs of hatch/fail",Y,N,U,NA,NA,camera too far to tell fate,"not sure which folder - maybe ""note sure-early nest""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d",,,,2E,,,,0E-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,RUTE,CONI,29.75778,-93.11722,none,6/26/2019,N,,,,,,,,,,"6/17 - not checked due to cows in area that wanted to follow me/may have trampled nest; 6/26 - lots of cattle disturbance in area, not found, maybe check back next time for chicks? prob failed from cattle",,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, angled on bottom",,,,not checked,,,,BON,,,,not found,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,RUTE,LETE,29.75817,-93.12001,none,6/28/2019,Y,,,,,,unknown,73,73,77,"12 June nest is just outside the eastern end of fencing along the dirt road used by ATVs. 16 June, nest found empty. Predator?",,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d",,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,RUTW,LETE,29.7702,-93.17794,none,7/1/2019,N,,,,,,avian?,73,77,82,6/21- found buried egg shell with hole punctured in it and dried up egg contents (picture),,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, <4d",,,1E,,,,,0E-camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,RUTW,LETE,29.7705,-93.17954,none,7/1/2019,N,,,,,6/10/2019,,73,82,87,why Ca? changed to A,Y,N,A,Ca,6/12/2019,changed cam fate from A to Ca,update: bird seen in first few photos; probably cattle. maybe was never a nest? Bird never seen on nest in camera photos. Could be egg that washed out of nest or similar,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, <4d",,,1E,,,,,1E,,,,1E abandoned,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,RUTW,LETE,29.77062,-93.18002,none,6/28/2019,N,,,,,,,73,87,91,why H? no chicks seen in field?,Y,N,U-H,H,6/27/2019,tiny chick head visible in photo 6/27 (??); visible again 6/29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 4d",,,2E,,,,,2E,,,,2E,,,,empty-check camera,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,RUTW,WIPL,29.77052,-93.17999,none,7/5/2019,Y,,,,,,,73,87,91,,,,F-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2E, 5d angled",,,2E,,,,,2E,,,,1E ,,,,1E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,RUTW,LETE,29.77063,-93.18026,none,6/19/2019,N,,,,,,,,,,,,,U,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, float vert near surf, 12-15d?",,,1E,,,,,0E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,BROW,WIPL,29.77165,-93.30247,none,7/1/2019,Y,5,10,,,,,76,88,88,22 June- ghost crab holes nearby. Maybe took an egg? 27 june- chick banded at nest by KBB,,,H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 12d, 9d, 5d",,,3E,,,,2E,,,,"1C, 1E",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,RUTW,BNST,29.76692,-93.16093,none,,Y,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4E,,,,,,,,,,,,,,,,,,,,,,4E,,,,,4E,,,,4E,,,,4E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,BROW,CONI,29.77361,-93.28963,none,7/5/2019,Y,0,0,,,,coyote,79,79,83,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1E, 1d",,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,BROW,WIPL,29.77331,-93.29224,none,7/7/2019,Y,5,15,,,,coyote,79,79,83,,,,D,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"3E, 9d, 5d ,5d",,,,failed,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
